bus_route,bus_link,bus_name,bus_type,departing_time,duration,reaching_time,seat_available,star_rating,price
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Sri Krishna Travels,A/C Sleeper (2+1),19:45,3h 45m,23:30,14 Seats,3.1,₹649
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Chaitra Sri Travels,NON A/C Sleeper (2+1),19:45,6h,01:45,4 Seats,3.4,₹549
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Sri Vengamamba Bus Transport (SVBT),A/C Sleeper (2+1),19:45,5h 30m,01:15,6 Seats,3.6,₹619
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Kamakshi Tours And Travels,A/C Sleeper (2+1),19:45,6h 15m,02:00,7 Seats,3.9,₹679
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,NueGo,Electric A/C Seater (2+2),19:50,5h 5m,00:55,2 Seats,3.8,₹304
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,IntrCity SmartBus,A/C Seater / Sleeper (2+1),19:50,5h 20m,01:10,2 Seats,3.4,₹419
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,V Kaveri Travels,Non A/C Seater / Sleeper (2+1),19:50,4h 9m,23:59,18 Seats,3.4,₹500
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,FRESHBUS,Electric A/C Seater (2+2),19:50,5h 10m,01:00,1 Seats,4.6,₹351
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Yolo Bus,Bharat Benz A/C Seater /Sleeper (2+1),19:50,6h 56m,02:46,8 Seats,3.3,₹399
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,IntrCity SmartBus,A/C Seater / Sleeper (2+1),19:55,5h 35m,01:30,3 Seats,3.8,₹439
